pair_id,u_issue,u_reporter,u_author,u_state,u_nfiles,u_total,u_nadd,u_ndel,d_issue,d_reporter,d_author,d_state,d_nfiles,d_total,d_nadd,d_ndel,ref_author
pair_246,scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#1977,rmjarvis,mdboom,closed,3,893,845,48,rmjarvis
pair_247,scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#2373,mcara,mdboom,closed,3,893,845,48,mcara
pair_248,scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/astropy#2816,mcara,mdboom,closed,3,893,845,48,mcara
pair_249,scipy/scipy#3227,rmjarvis,ev-br,closed,2,19,15,4,astropy/pyregion#35,mcara,,open,,,,,mcara
pair_257,scipy/scipy#4142,ogrisel,stefanv,closed,2,57,45,12,scikit-learn/scikit-learn#2986,ogrisel,ogrisel,closed,4,563,543,20,ogrisel
pair_262,scipy/scipy#4895,argriffing,argriffing,closed,4,2090,805,1285,nipy/dipy#652,argriffing,,closed,,,,,argriffing
pair_266,scipy/scipy#5882,saulomeirelles,,closed,,,,,wesleybowman/UTide#30,saulomeirelles,,open,,,,,saulomeirelles
pair_267,sphinx-doc/sphinx#1822,jschueller,shimizukawa,closed,1,2,1,1,scikit-learn/scikit-learn#4737,amueller,,closed,,,,,shoyer
pair_268,sphinx-doc/sphinx#1892,Eric89GXL,shimizukawa,closed,1,2,1,1,scikit-learn/scikit-learn#4737,amueller,,closed,,,,,jschueller
pair_269,swig/swig#92,cdeil,badshah400,closed,1,3,2,1,scipy/scipy#2944,rgommers,rgommers,closed,51,467558,1173,466385,cdeil
pair_270,zeromq/pyzmq#613,klaussfreire,minrk,closed,1,8,8,0,ipython/ipython#6109,khadiwala,,closed,,,,,khadiwala
pair_271,zeromq/pyzmq#95,minrk,minrk,closed,1,17,13,4,ipython/ipython#365,minrk,minrk,closed,2,13,11,2,minrk
